date,month,region,spice,market_price_LKR,qty_sold_kg,temp_c,rainfall_mm,humidity_pct,monsoon_sw_flag,monsoon_ne_flag,qty_sold_kg_4w_ma,market_price_LKR_4w_ma,rainfall_mm_4w_ma,temp_c_4w_ma
2018-01-01,1,Galle,Cardamom,3529.64,556.1,28.85,46.1,64.8,0,0.2,556.1,3529.64,46.1,28.85
2018-01-08,1,Galle,Cardamom,3582.18,589.7,29.04,42.9,69.7,0,0.2,572.9,3555.91,44.5,28.945
2018-01-15,1,Galle,Cardamom,3616.88,511.5,29.61,47,74.5,0,0.2,552.4333333,3576.233333,45.33333333,29.16666667
2018-01-22,1,Galle,Cardamom,3592.37,575.5,29.73,34.2,69.3,0,0.2,558.2,3580.2675,42.55,29.3075
2018-01-29,1,Galle,Cardamom,3649.09,577.7,30.45,42.3,63.1,0,0.2,563.6,3610.13,41.6,29.7075
2018-02-05,2,Galle,Cardamom,3658.57,613.7,31.1,52.1,72.2,0,0.2,569.6,3629.2275,43.9,30.2225
2018-02-12,2,Galle,Cardamom,3646.21,593.8,29.92,47.5,63.7,0,0.2,590.175,3636.56,44.025,30.3
2018-02-19,2,Galle,Cardamom,3640.11,580,31.37,60,74.7,0,0.2,591.3,3648.495,50.475,30.71
2018-02-26,2,Galle,Cardamom,3618.53,521.3,31.23,49.7,70.5,0,0.2,577.2,3640.855,52.325,30.905
2018-03-05,3,Galle,Cardamom,3644.95,620,30.36,39.8,67.1,0,0,578.775,3637.45,49.25,30.72
2018-03-12,3,Galle,Cardamom,3590.6,523.2,31.77,40,72.5,0,0,561.125,3623.5475,47.375,31.1825
2018-03-19,3,Galle,Cardamom,3550.18,558.6,32.1,44.6,67.9,0,0,555.775,3601.065,43.525,31.365
2018-03-26,3,Galle,Cardamom,3697.32,609.4,30.73,23.4,62.5,0,0,577.8,3620.7625,36.95,31.24
2018-04-02,4,Galle,Cardamom,3816.2,636.2,31.1,39.3,67.9,0,0,581.85,3663.575,36.825,31.425
2018-04-09,4,Galle,Cardamom,3893.97,709.4,30.37,38.4,67.4,0,0,628.4,3739.4175,36.425,31.075
2018-04-16,4,Galle,Cardamom,3971.35,609.7,30.86,50,65.4,0,0,641.175,3844.71,37.775,30.765
2018-04-23,4,Galle,Cardamom,4051.18,638.5,29.82,38.3,68.4,0,0,648.45,3933.175,41.5,30.5375
2018-04-30,4,Galle,Cardamom,3917.86,631.2,29.37,42.7,62.9,0,0,647.2,3958.59,42.35,30.105
2018-05-07,5,Galle,Cardamom,3791.9,605.2,29.54,76.2,72.8,1,0,621.15,3933.0725,51.8,29.8975
2018-05-14,5,Galle,Cardamom,3858.54,619.1,28.81,86,71.8,1,0,623.5,3904.87,60.8,29.385
2018-05-21,5,Galle,Cardamom,3743.48,583.3,29.62,71.7,72.6,1,0,609.7,3827.945,69.15,29.335
2018-05-28,5,Galle,Cardamom,3668.4,641.2,30.28,75.1,68.6,1,0,612.2,3765.58,77.25,29.5625
2018-06-04,6,Galle,Cardamom,3610.68,645.9,29.15,81.3,73.6,1,0,622.375,3720.275,78.525,29.465
2018-06-11,6,Galle,Cardamom,3543.41,595.6,28.22,82.9,72.6,1,0,616.5,3641.4925,77.75,29.3175
2018-06-18,6,Galle,Cardamom,3492.68,588.2,27.63,87.5,67.8,1,0,617.725,3578.7925,81.7,28.82
2018-06-25,6,Galle,Cardamom,3514.37,548.1,27.2,71.7,68.9,1,0,594.45,3540.285,80.85,28.05
2018-07-02,7,Galle,Cardamom,3504.32,565.6,27.33,85.7,72,1,0,574.375,3513.695,81.95,27.595
2018-07-09,7,Galle,Cardamom,3432.53,621.5,26.66,79.2,68.7,1,0,580.85,3485.975,81.025,27.205
2018-07-16,7,Galle,Cardamom,3431.26,586.2,26.69,72.9,67.4,1,0,580.35,3470.62,77.375,26.97
