clip_id,transcript,human_label,notes
clip_0000,,,
clip_0001,,,
clip_0002,,,
clip_0003,,,
clip_0004,My name is D.T.A. Dan.,,
clip_0005,My name is DTI Dayanandi. I join in K.I.R.S. through SAP Project.,,
clip_0006,through SAP project. I have a tool in a land but I never,,
clip_0007,But I never tried this kind of system very earlier,,
clip_0008,"this stuff very earlier. I did farming many years, but this is the",,
clip_0009,years but this is the very first time I started this kind of,,
clip_0010,"Actually, this is a very productive system.",,
clip_0011,I didn't aware about the creepy,,
clip_0012,I didn't aware about the grip irrigation system. Actually earlier...,,
clip_0013,"Actually earlier, we used many fertilizers. We didn't have any management system.",,
clip_0014,"We didn't have any management system, but now I am using once a week only.",,
clip_0015,It's all about 4 to 5 kg.,,
clip_0016,"4 to 5 kg, 4 to 5 kg of fertilizer.",,
clip_0017,45 kg of Fertilizer If I still I am,,
clip_0018,"Still I am learning and developing my farming methods, but I feel like...",,
clip_0019,"Now I'm so better, but I'm doing it really great than earlier.",,
clip_0020,I am so happy about this plant as a system and the product.,,
clip_0021,very labor-saving technology. No need to use traditional methods. It's so.,,
clip_0022,it's actually wasting a lot of time and energy as well.,,
clip_0023,I believe everybody would like to do some systematic call it,,
clip_0024,some systematic quality work.,,
clip_0025,"quality work, and they provide net distance.",,
clip_0026,"and they provide NET, this technology.",,
clip_0027,"They provide NET, this technology, creep irrigation system, this polymulti-",,
clip_0028,"system, this polymulcher and everything.",,
clip_0029,and everything provided by SAP Project.,,
clip_0030,"project. Actually, what SEP is doing, according to my understanding...",,
clip_0031,"is doing, according to my understanding, they are creating a sub-",,
clip_0032,cultivation system. I feel the change. That's why I'm talking.,,
clip_0033,It's actually...,,
clip_0034,Time-wasting,,
clip_0035,That's not the case. That's not the case. The reason is that we have to be satisfied with the safety.,,
clip_0036,"My name is Hemamala Akula Ratna, I'm working as a valet.",,
clip_0037,I am working as a value chain mobilizer for SAP project.,,
clip_0038,This is a Cuse project. Our target is...,,
clip_0039,project. Our target is 100 farmers.,,
clip_0040,and also we created access to market.,,
clip_0041,And also we created access to market by producing...,,
clip_0042,by producing quality production for the KU supermarkets.,,
clip_0043,quality production for the KU supermarket chain.,,
clip_0044,They received one hundred and twenty,,
clip_0045,They receive 120 lakhs rupees as a loan.,,
clip_0046,loan from the HNB bank and also Polymarch.,,
clip_0047,"polymers, the net, grip irrigation system and other equipments.",,
clip_0048,system and other equipments they receive as a grant.,,
clip_0049,This is the good example what we actually,,
clip_0050,What we achieved so far. This is actually a very good successful story,,
clip_0051,story when it comes to DTI Dayananda Pharma.,,
clip_0052,"the idea of the farmer, how he managed.",,
clip_0053,"farmer, how he manage his farming.",,
clip_0054,farming earlier and now is very different and he's very,,
clip_0055,"Currently, he is using very minimum fertilizer.",,
clip_0056,"fertilizer, water and other resources for the cultivation.",,
clip_0057,for the cultivation and he is earning good profit by doing this cultivation.,,
clip_0058,in good profit by doing this cultivation.,,
clip_0059,This Kheels Govithiri project is one of the best examples when it comes to our four people.,,
clip_0060,4B value chain development programs.,,
clip_0061,But there are some ways to follow them.,,
clip_0062,,,
clip_0063,,,
clip_0064,,,
clip_0065,,,
clip_0066,,,
clip_0067,"One is the vertical duration, and the other is the length.",,
clip_0068,,,
clip_0069,"When I left the school at the age of 70, I had a...",,
clip_0070,,,
clip_0071,,,
clip_0072,,,
clip_0073,,,
clip_0074,,,
clip_0075,,,
clip_0076,Thank you very much.,,
clip_0077,"In 1972, this letter from Thomas Stein.",,
clip_0078,We promise to do some,,
clip_0079,,,
clip_0080,,,
clip_0081,and he has given the responsibility to me. I left the school at the age of 17.,,
clip_0082,,,
clip_0083,Now we have to go to the...,,
clip_0084,,,
clip_0085,And we are used. It's the customary practice. We are not...,,
clip_0086,,,
clip_0087,,,
clip_0088,,,
clip_0089,"That's good, that's good. That's good.",,
clip_0090,,,
clip_0091,,,
clip_0092,,,
clip_0093,"Going in order, I'm done.",,
clip_0094,But there are some ways to follow them.,,
clip_0095,"But, they are awesome, really. All sit down.",,
clip_0096,Sit down. We'll be right back.,,
clip_0097,,,
clip_0098,,,
clip_0099,,,
clip_0100,the people are doing something other than the highland area.,,
clip_0101,,,
clip_0102,,,
clip_0103,That's an apartment. My great-great-great father sold the apartment and they had the...,,
clip_0104,,,
clip_0105,,,
clip_0106,,,
clip_0107,,,
clip_0108,"Do this, do this.",,
clip_0109,,,
clip_0110,I don't know how much time.,,
clip_0111,"almost a year here, and it has...",,
clip_0112,It is flushed with what you call...,,
clip_0113,NANDA!,,
clip_0114,all the time during the British period and this is it.,,
clip_0115,,,
clip_0116,I will know in and out of this problem.,,
clip_0117,,,
clip_0118,I'll talk to you in a minute.,,
clip_0119,,,
clip_0120,,,
clip_0121,very big river,,
clip_0122,"They are not common, they are Italian, Badagmula people.",,
clip_0123,,,
clip_0124,"Thank you, thank you so much.",,
clip_0125,,,
clip_0126,,,
clip_0127,,,
clip_0128,it also undervalued so much that I think this is why it gives me great joy.,,
clip_0129,"And yeah, I applied in Sri Lanka. And also, special.",,
clip_0130,biodynamic agriculture and what is bio-dynamic really,,
clip_0131,very high standard organic system. We believe moon calendar and,,
clip_0132,As one of the thirty four bio-diagnostic practices.,,
clip_0133,on this planet. We in Sri Lanka have been forced to,,
clip_0134,of this land until today only about 3%,,
clip_0135,rainforests and the highland rainforests are home to...,,
clip_0136,practically all species and,,
clip_0137,75% of all the animals that are hindering to this country.,,
clip_0138,health of the people. Our organic farmers use bio-fertilizers,,
clip_0139,organic farmers use bio-fertilizers to promote,,
clip_0140,Isis to promote the culture of,,
clip_0141,to promote the culture of microbes in the soil.,,
clip_0143,of microbes in the soil and also to get the effect to...,,
clip_0144,and also to get their effect to nourish them.,,
clip_0145,"the soils. So what they do is, they use various",,
clip_0146,various naturally occurring substances to develop certain media,,
clip_0147,to develop certain media slurries to multiply them.,,
clip_0148,Lurries to multiply them and then they apply to their soil.,,
clip_0149,and then they apply to their soils to increase the,,
clip_0150,to increase the productivity and maintain the natural,,
clip_0151,conditions of the soil.,,
clip_0152,"by using our local materials, we can prepare our",,
clip_0153,"local materials, we can prepare our compost.",,
clip_0154,"As a value addition, we can add it by a charcoal.",,
clip_0155,"is basically very important for development of soil, macro and micro",,
clip_0156,of the bhavichakal with the treatment of cow urine.,,
clip_0157,programs to encourage them to maintain a sustainable organic value chain.,,
clip_0158,Ceylon tea is known all over the world. Why it is very well known? Purely because we,,
clip_0160,the culture of microbes in the soil and also to,,
clip_0161,Good afternoon ladies and gentlemen till the power point comes on,,
clip_0162,"As I stand here, I'm acutely aware that I'm speaking to an audience...",,
clip_0163,And it's a challenging and daunting task to keep your attention.,,
clip_0164,Regarding agriculture. I've heard in the morning certain comments or opinions,,
clip_0165,"of Sri Lanka and very quickly, sorry.",,
clip_0167,quickly sorry for my to get to the subject,,
clip_0168,"Sorry, fine. To get to the subject, I want to make a proposition.",,
clip_0169,"to get to the subject, I want to make a proposition that the inherent...",,
clip_0170,that the inherent geographical topography climatic,,
clip_0171,ecosystem of Sri Lankan land provides a favorable platform.,,
clip_0172,platform and can...,,
clip_0173,people are directly employed and more so 77% of our national population.,,
clip_0174,we can uplift the quality of life and the lifestyle of more 20...,,
clip_0175,GDP in Sri Lanka you can clearly see that services and agriculture industry sector,,
clip_0176,Paddy is a main crop apart from coconut which is a,,
clip_0178,We have export-oriented plantation crops like tea and rubber. We have export agriculture crops of...,,
clip_0179,that agriculture is a very positive feature and that we have to look at it in a very positive way.,,
clip_0180,"of land on a sustainable basis, so that the people and the country.",,
clip_0181,"Talking of Sri Lanka, we are a small, tropical, maritime country.",,
clip_0182,Tropical maritime humid island close the equator,,
clip_0183,most of the equator and you are blessed with adequate rainfall.,,
clip_0184,with adequate rainfall. More so we have sea suns we are the whole,,
clip_0185,Seasons where the whole country is covered in rain as I will explain later,,
clip_0186,and later 40% of the rain is us.,,
clip_0187,"is a surface runoff, even that is captured in terms of the...",,
clip_0188,tanks and reservoir systems in Sri Lanka. Sri Lanka has 103 rivers.,,
clip_0189,"and 15 of them in the wet zone, 20 in the intermediate zone, 8 in the wet zone.",,
clip_0190,crossing all the three zones and the largest river covering 10% of our land area.,,
clip_0191,supplement that further by 7600 tax. If you look at the employment...,,
clip_0192,27% is in agriculture and in industries about 46%,,
clip_0193,about 46% and in services another 26%.,,
clip_0194,"Sorry, it's the other way around. Agriculture is 27 percent, industry is 46.",,
clip_0195,We are blessed with the...,,
clip_0196,six different land zones so that,,
clip_0197,Thanks for watching!,,
clip_0198,that different variety of crops can be grown in Sri Lanka.,,
clip_0199,"This is the advantageous location of our central hills, which is north-south.",,
clip_0200,down to the low country and which is a very good advantage for Sri Lanka.,,
clip_0201,63 great soil groups and all these soil groups...,,
clip_0202,"For example, there is soil type that favours study, then cereal.",,
clip_0203,"As you see, this is how the land is used in Sri Lanka. We have about...",,
clip_0204,We have about 42% of our land devoted to agriculture.,,
clip_0205,"So previously I mentioned about 20% in forest, about 5% in water.",,
clip_0206,the land use map in Sri Lanka and 42% of the Arab,,
clip_0207,percent of the arable land is distributed mostly in the,,
clip_0208,is distributed mostly in the wet soil. So if you go...,,
clip_0209,cultivated crops are situated in our country. You can see the paddy lands...,,
clip_0210,the west and the centre of the country and the forested area is more towards the north.,,
clip_0211,"rice cultivation takes prominence, almost close to 850,000 hectares.",,
clip_0212,"The important thing is that more than the extent involved, the number of households",,
clip_0213,"cultivation. Other important food crops, like other food crops, are",,
clip_0214,"to 400,000 hectares and the traditional T202,000 hectares.",,
clip_0216,surpassed 2 million kilos out of a total 4.5 million hectare cultivated.,,
clip_0218,What is significant is a number of people employed you can,,
clip_0219,"Then 700,000 people are engaged in coconut cultivation at ground level.",,
clip_0220,1 million people get thrown by the regional plantation companies. So when you look at that...,,
clip_0221,"the people, rural folk based, are dependent on the industry for their sustenance.",,
clip_0222,"and livelihood. Now when you look at PADI, I think just to give you an illustration.",,
clip_0223,"of the paddy sector, you can see small patches of paddy land right through the country.",,
clip_0224,They are concentrated in the western Sabargamu and the central part of the country.,,
clip_0225,Cultivated food crops in all are totally surpassed to,,
clip_0226,If you look at the agriculture sector of Sri Lanka where 2.2 million people are engaged.,,
clip_0227,I was Export-oriented Florida,,
clip_0228,"was established during the year 1980-81 period. Since then,",,
clip_0229,"major export companies, including a few foreign investors.",,
clip_0230,"The medical sector employs over 5,000 people and more than 10,000 families.",,
clip_0231,in the semi-urban and rural areas are indirectly involved in exports.,,
clip_0232,as outgrowers to the existing companies. This is one of the few agricultural...,,
clip_0233,based industries that employs people throughout the year at the rate of five to,,
clip_0234,7 workers per acre. The net foreign exchange earning capacity of the sector is,,
clip_0235,"is around 85% to 90%. In year 2008, Sri Lanka...",,
clip_0236,America has earned US dollar 14.52 million worth of foreign exchange.,,
clip_0237,by exporting floriculture products and in year 2010,,
clip_0238,there was a drop in exports to US dollar 11.5 million due to the,,
clip_0239,The exports have slightly recovered during the year 2011.,,
clip_0240,availability of cultivation technology to finish products according to international standards.,,
clip_0241,Sri Lanka has skilled labor for this industry and has an advantage of having,,
clip_0242,cocopeat as the growing media. There has been an application of a good,,
clip_0243,"agriculture practices to protect the environment, safeguard workers and sustain",,
clip_0244,use of natural resources in Sri Lanka.,,
clip_0245,"aquarium plants, landscaping plants and tissue cultured plants.",,
clip_0246,The major varieties of ink temperate cut flowers include carnation,,
clip_0247,"and rose, that is gypsodia, astronella, chrysanthemum.",,
clip_0248,"Among them, carnations and roses are grown mainly for export.",,
clip_0249,in the highlands of the central province of Sri Lanka. Anthurium and Orchids are the,,
clip_0250,"as well as for the local market. All major exporters are producer, expo...",,
clip_0251,operators operate in their own nurseries. Collector supply is playing a major role in,,
clip_0252,decorative foliage export sector. The major production regions under this category,,
clip_0253,"Western province, Kampaha, Kalu Thera, and Kalambu district. Northwestern...",,
clip_0254,"province, Kurnagala, Puttalam district, Central province, Kandy, Kerala.",,
clip_0255,"Goal, Marthalai, Nuralia and Bandaravilla, Sri Lanka exported, US dollar.",,
clip_0257,11.7 million worth of floriculture products in 2010 they export,,
clip_0258,showed a growth of 3% from 2006 to 2010.,,
clip_0259,"are ranked at 52 in 2010, holds a market share of 0.2%.",,
