clip_id,audio_path,transcript,duration_seconds,rms_mean,rms_std,f0_mean,f0_std,zcr_mean,spectral_centroid_mean,tempo_proxy,transcript_char_len,transcript_word_count,urgency_count,money_count,secrecy_count,pressure_count,id_avoidance_count,otp_pin_count,decision
clip_0000,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0000.wav,,5.0,0.004958,0.005196,77.21,18.08,0.196407,2221.59,133.93,0,0,0,0,0,0,0,0,PROCEED
clip_0001,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0001.wav,,5.0,0.004958,0.005196,77.21,18.08,0.196407,2221.59,133.93,0,0,0,0,0,0,0,0,PROCEED
clip_0002,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0002.wav,,5.0,0.00531,0.005013,88.39,15.22,0.189935,2108.23,144.23,0,0,0,0,0,0,0,0,PROCEED
clip_0003,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0003.wav,,5.0,0.006851,0.003963,137.2,81.04,0.216256,2203.27,144.23,0,0,0,0,0,0,0,0,PROCEED
clip_0004,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0004.wav,My name is D.T.A. Dan.,5.0,0.006866,0.006476,207.63,88.02,0.181538,1940.68,144.23,22,5,0,0,0,0,0,0,PROCEED
clip_0005,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0005.wav,My name is DTI Dayanandi. I join in K.I.R.S. through SAP Project.,5.0,0.010532,0.010261,0.0,0.0,0.193381,1971.94,125.0,65,12,0,0,0,0,0,0,PROCEED
clip_0006,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0006.wav,through SAP project. I have a tool in a land but I never,5.0,0.012388,0.011363,1957.47,20.99,0.178384,1854.96,144.23,56,13,0,0,0,0,0,0,PROCEED
clip_0007,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0007.wav,But I never tried this kind of system very earlier,5.0,0.010693,0.009395,0.0,0.0,0.176627,1859.86,98.68,50,10,0,0,0,0,0,0,PROCEED
clip_0008,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0008.wav,"this stuff very earlier. I did farming many years, but this is the",5.0,0.014334,0.017589,1413.69,408.25,0.182592,1896.21,125.0,66,13,0,0,0,0,0,0,PROCEED
clip_0009,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0009.wav,years but this is the very first time I started this kind of,5.0,0.015212,0.012763,1981.5,31.76,0.193446,1968.9,125.0,60,13,0,0,0,0,0,0,PROCEED
clip_0010,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0010.wav,"Actually, this is a very productive system.",5.0,0.018118,0.015459,1559.96,420.22,0.171328,1741.18,133.93,43,7,0,0,0,0,0,0,PROCEED
