month,region,spice,temp_c,rainfall_mm,humidity_pct,monsoon_sw_flag,monsoon_ne_flag,qty_sold_kg_4w_ma,market_price_LKR_4w_ma,rainfall_mm_4w_ma,temp_c_4w_ma
1,0,0,28.85,46.1,64.8,0.0,0.2,556.1,3529.64,46.1,28.85
1,0,0,29.04,42.9,69.7,0.0,0.2,572.9,3555.91,44.5,28.945
1,0,0,29.61,47.0,74.5,0.0,0.2,552.4333333,3576.233333,45.33333333,29.16666667
1,0,0,29.73,34.2,69.3,0.0,0.2,558.2,3580.2675,42.55,29.3075
1,0,0,30.45,42.3,63.1,0.0,0.2,563.6,3610.13,41.6,29.7075
2,0,0,31.1,52.1,72.2,0.0,0.2,569.6,3629.2275,43.9,30.2225
2,0,0,29.92,47.5,63.7,0.0,0.2,590.175,3636.56,44.025,30.3
2,0,0,31.37,60.0,74.7,0.0,0.2,591.3,3648.495,50.475,30.71
2,0,0,31.23,49.7,70.5,0.0,0.2,577.2,3640.855,52.325,30.905
3,0,0,30.36,39.8,67.1,0.0,0.0,578.775,3637.45,49.25,30.72
3,0,0,31.77,40.0,72.5,0.0,0.0,561.125,3623.5475,47.375,31.1825
3,0,0,32.1,44.6,67.9,0.0,0.0,555.775,3601.065,43.525,31.365
3,0,0,30.73,23.4,62.5,0.0,0.0,577.8,3620.7625,36.95,31.24
4,0,0,31.1,39.3,67.9,0.0,0.0,581.85,3663.575,36.825,31.425
4,0,0,30.37,38.4,67.4,0.0,0.0,628.4,3739.4175,36.425,31.075
4,0,0,30.86,50.0,65.4,0.0,0.0,641.175,3844.71,37.775,30.765
4,0,0,29.82,38.3,68.4,0.0,0.0,648.45,3933.175,41.5,30.5375
4,0,0,29.37,42.7,62.9,0.0,0.0,647.2,3958.59,42.35,30.105
5,0,0,29.54,76.2,72.8,1.0,0.0,621.15,3933.0725,51.8,29.8975
5,0,0,28.81,86.0,71.8,1.0,0.0,623.5,3904.87,60.8,29.385
5,0,0,29.62,71.7,72.6,1.0,0.0,609.7,3827.945,69.15,29.335
5,0,0,30.28,75.1,68.6,1.0,0.0,612.2,3765.58,77.25,29.5625
6,0,0,29.15,81.3,73.6,1.0,0.0,622.375,3720.275,78.525,29.465
6,0,0,28.22,82.9,72.6,1.0,0.0,616.5,3641.4925,77.75,29.3175
6,0,0,27.63,87.5,67.8,1.0,0.0,617.725,3578.7925,81.7,28.82
6,0,0,27.2,71.7,68.9,1.0,0.0,594.45,3540.285,80.85,28.05
7,0,0,27.33,85.7,72.0,1.0,0.0,574.375,3513.695,81.95,27.595
7,0,0,26.66,79.2,68.7,1.0,0.0,580.85,3485.975,81.025,27.205
7,0,0,26.69,72.9,67.4,1.0,0.0,580.35,3470.62,77.375,26.97
7,0,0,26.86,76.4,65.7,1.0,0.0,600.975,3449.6225,78.55,26.885
7,0,0,25.56,85.0,68.8,1.0,0.0,607.8,3419.8425,78.375,26.4425
8,0,0,24.96,82.2,68.0,1.0,0.0,595.825,3409.555,79.125,26.0175
8,0,0,25.69,76.6,74.4,1.0,0.0,587.6,3400.115,80.05,25.7675
8,0,0,25.02,79.9,64.5,1.0,0.0,579.475,3383.695,80.925,25.3075
8,0,0,24.87,75.9,63.1,1.0,0.0,571.0,3375.62,78.65,25.135
9,0,0,25.28,79.9,66.9,1.0,0.0,574.95,3368.5025,78.075,25.215
9,0,0,25.73,76.6,72.7,1.0,0.0,590.175,3361.4825,78.075,25.225
9,0,0,24.92,83.0,67.2,1.0,0.0,569.6,3362.3275,78.85,25.2
9,0,0,24.66,81.8,72.8,1.0,0.0,566.0,3359.79,80.325,25.1475
10,0,0,24.19,35.2,67.0,0.0,0.0,562.0,3357.7225,69.15,24.875
10,0,0,25.05,45.4,59.7,0.0,0.0,547.1,3356.77,61.35,24.705
10,0,0,25.87,32.4,71.1,0.0,0.0,578.725,3354.735,48.7,24.9425
10,0,0,25.58,39.0,63.3,0.0,0.0,577.425,3362.525,38.0,25.1725
10,0,0,26.47,41.1,65.2,0.0,0.0,607.85,3418.2475,39.475,25.7425
